"sistema_u_otro","grupo","categoria","total","tasa_mortalidad"
"Enfermedades del sistema circulatorio","Otras formas de enfermedad del corazón","Trastornos no reumáticos de la válvula aórtica",261,1.32632983749715
"Enfermedades del sistema circulatorio","Otras formas de enfermedad del corazón","Trastornos no reumáticos de la válvula mitral",67,0.340475475526089
"Enfermedades del sistema circulatorio","Otras formas de enfermedad del corazón","Trastornos no reumáticos de la válvula tricúspide",3,0.0152451705459443
"Enfermedades del sistema circulatorio","Otros trastornos y los no especificados del sistema circulatorio","Hipotensión",4,0.0203268940612591
"Enfermedades del sistema circulatorio","Otros trastornos y los no especificados del sistema circulatorio","Otros trastornos y los no especificados del sistema circulatorio",21,0.10671619382161
"Enfermedades del sistema digestivo","Enfermedades del apéndice","Apendicitis aguda",30,0.152451705459443
"Enfermedades del sistema digestivo","Enfermedades del apéndice","Apendicitis, no especificada",4,0.0203268940612591
"Enfermedades del sistema digestivo","Enfermedades del apéndice","Otras enfermedades del apéndice",1,0.00508172351531476
"Enfermedades del sistema digestivo","Enfermedades del esófago, del estómago y del duodeno","Enfermedad del reflujo gastroesofágico",8,0.0406537881225181
"Enfermedades del sistema digestivo","Enfermedades del esófago, del estómago y del duodeno","Esofagitis",2,0.0101634470306295
"Enfermedades del sistema digestivo","Enfermedades del esófago, del estómago y del duodeno","Gastritis y duodenitis",18,0.0914710232756658
"Enfermedades del sistema digestivo","Enfermedades del esófago, del estómago y del duodeno","Otras enfermedades del esófago",54,0.274413069826997
"Enfermedades del sistema digestivo","Enfermedades del esófago, del estómago y del duodeno","Otras enfermedades del estómago y del duodeno",28,0.142288258428813
"Enfermedades del sistema digestivo","Enfermedades del esófago, del estómago y del duodeno","Úlcera duodenal",76,0.386210987163922
"Enfermedades del sistema digestivo","Enfermedades del esófago, del estómago y del duodeno","Úlcera gástrica",129,0.655542333475605
"Enfermedades del sistema digestivo","Enfermedades del esófago, del estómago y del duodeno","Úlcera gastroyeyunal",1,0.00508172351531476
"Enfermedades del sistema digestivo","Enfermedades del esófago, del estómago y del duodeno","Úlcera péptica, de sitio no especificado",47,0.238841005219794
"Enfermedades del sistema digestivo","Enfermedades del hígado","Enfermedad alcohólica del hígado",1617,8.21714692426398
"Enfermedades del sistema digestivo","Enfermedades del hígado","Enfermedad tóxica del hígado",2,0.0101634470306295
"Enfermedades del sistema digestivo","Enfermedades del hígado","Fibrosis y cirrosis del hígado",1086,5.51875173763183
"Enfermedades del sistema digestivo","Enfermedades del hígado","Hepatitis crónica, no clasificada en otra parte",2,0.0101634470306295
"Enfermedades del sistema digestivo","Enfermedades del hígado","Insuficiencia hepática, no clasificada en otra parte",447,2.2715304113457
"Enfermedades del sistema digestivo","Enfermedades del hígado","Otras enfermedades del hígado",1509,7.66832078460998
"Enfermedades del sistema digestivo","Enfermedades del hígado","Otras enfermedades inflamatorias del hígado",92,0.467518563408958
"Enfermedades del sistema digestivo","Enfermedades del peritoneo","Otros trastornos del peritoneo",31,0.157533428974758
"Enfermedades del sistema digestivo","Enfermedades del peritoneo","Peritonitis",387,1.96662700042681
"Enfermedades del sistema digestivo","Enteritis y colitis no infecciosas","Colitis Ulcerativa",25,0.127043087882869
"Enfermedades del sistema digestivo","Enteritis y colitis no infecciosas","Enfermedad de Crohn [enteritis regional]",12,0.0609806821837772
"Enfermedades del sistema digestivo","Enteritis y colitis no infecciosas","Otras colitis y gastroenteritis no infecciosas",13,0.0660624056990919
"Enfermedades del sistema digestivo","Hernia","Hernia diafragmática",40,0.203268940612591
"Enfermedades del sistema digestivo","Hernia","Hernia femoral",18,0.0914710232756658
"Enfermedades del sistema digestivo","Hernia","Hernia inguinal",70,0.355720646072034
"Enfermedades del sistema digestivo","Hernia","Hernia no especificada de la cavidad abdominal",38,0.193105493581961
"Enfermedades del sistema digestivo","Hernia","Hernia umbilical",29,0.147369981944128
"Enfermedades del sistema digestivo","Hernia","Hernia ventral",33,0.167696876005387
"Enfermedades del sistema digestivo","Otras enfermedades de los intestinos","Absceso de las regiones anal y rectal",6,0.0304903410918886
"Enfermedades del sistema digestivo","Otras enfermedades de los intestinos","Enfermedad diverticular del intestino",98,0.498008904500847
"Enfermedades del sistema digestivo","Otras enfermedades de los intestinos","Hemorroides y trombosis venosa perianal",1,0.00508172351531476
"Enfermedades del sistema digestivo","Otras enfermedades de los intestinos","Ileo paralítico y obstrucción intestinal sin hernia",668,3.39459130823026
"Enfermedades del sistema digestivo","Otras enfermedades de los intestinos","Otras enfermedades de los intestinos",137,0.696196121598123
"Enfermedades del sistema digestivo","Otras enfermedades de los intestinos","Otras enfermedades del ano y del recto",6,0.0304903410918886
"Enfermedades del sistema digestivo","Otras enfermedades de los intestinos","Otros trastornos funcionles del intestino",21,0.10671619382161
"Enfermedades del sistema digestivo","Otras enfermedades de los intestinos","Síndrome del colon irritable",1,0.00508172351531476
"Enfermedades del sistema digestivo","Otras enfermedades de los intestinos","Trastornos vasculares de los intestinos",369,1.87515597715115
"Enfermedades del sistema digestivo","Otras enfermedades del sistema digestivo","Malabsorción intestinal",8,0.0406537881225181
"Enfermedades del sistema digestivo","Otras enfermedades del sistema digestivo","Otras enfermedades del sistema digestivo",940,4.77682010439588
"Enfermedades del sistema digestivo","Trastornos de la vesícula biliar, de las vías biliares y del páncreas","Colecistitis",135,0.686032674567493
"Enfermedades del sistema digestivo","Trastornos de la vesícula biliar, de las vías biliares y del páncreas","Colelitiasis",143,0.726686462690011
"Enfermedades del sistema digestivo","Trastornos de la vesícula biliar, de las vías biliares y del páncreas","Otras enfermedades de la vesícula biliar",19,0.0965527467909805
"Enfermedades del sistema digestivo","Trastornos de la vesícula biliar, de las vías biliares y del páncreas","Otras enfermedades de las vías biliares",231,1.17387813203771
"Enfermedades del sistema digestivo","Trastornos de la vesícula biliar, de las vías biliares y del páncreas","Otras enfermedades del páncreas",11,0.0558989586684624
"Enfermedades del sistema digestivo","Trastornos de la vesícula biliar, de las vías biliares y del páncreas","Pancreatitis aguda",401,2.03777112964122
"Enfermedades del sistema digestivo","Trastornos del desarrollo y de la erupción de los dientes","Enfermedades de las glándulas salivales",2,0.0101634470306295
"Enfermedades del sistema digestivo","Trastornos del desarrollo y de la erupción de los dientes","Estomatitis y lesiones afines",1,0.00508172351531476
"Enfermedades del sistema digestivo","Trastornos del desarrollo y de la erupción de los dientes","Otras enfermedades de los maxilares",1,0.00508172351531476
"Enfermedades del sistema genitourinario","Enfermedad renal tubulointersticial","Afecciones tubulares y tubulointersticiales inducidas por drogas y por metales pesados",1,0.00508172351531476
"Enfermedades del sistema genitourinario","Enfermedad renal tubulointersticial","Nefritis  tubulointersticial crónica",2,0.0101634470306295
"Enfermedades del sistema genitourinario","Enfermedad renal tubulointersticial","Nefritis tubulointersticial aguda",309,1.57025256623226
"Enfermedades del sistema genitourinario","Enfermedad renal tubulointersticial","Nefritis tubulointersticial, no especificada como aguda o crónica",77,0.391292710679237
"Enfermedades del sistema genitourinario","Enfermedad renal tubulointersticial","Otras enfermedades renales tubulointersticiales",27,0.137206534913499
"Enfermedades del sistema genitourinario","Enfermedad renal tubulointersticial","Uropatía obstructiva y por reflujo",27,0.137206534913499
"Enfermedades del sistema genitourinario","Enfermedades de los órganos genitales masculinos","Enfermedades inflamatorias de la próstata",19,0.0965527467909805
"Enfermedades del sistema genitourinario","Enfermedades de los órganos genitales masculinos","Hiperplasia de la próstata",71,0.360802369587348
"Enfermedades del sistema genitourinario","Enfermedades de los órganos genitales masculinos","Orquitis y epididimitis",1,0.00508172351531476
"Enfermedades del sistema genitourinario","Enfermedades de los órganos genitales masculinos","Otros trastornos de la próstata",4,0.0203268940612591
"Enfermedades del sistema genitourinario","Enfermedades de los órganos genitales masculinos","Otros trastornos del pene",1,0.00508172351531476
"Enfermedades del sistema genitourinario","Enfermedades de los órganos genitales masculinos","Trastornos inflamatorios de órganos genitales masculinos, no clasificados en otra parte",36,0.182942046551332
"Enfermedades del sistema genitourinario","Enfermedades glomerulares","Hematuria recurrente y persistente",1,0.00508172351531476
"Enfermedades del sistema genitourinario","Enfermedades glomerulares","Síndrome nefrítico agudo",15,0.0762258527297215
"Enfermedades del sistema genitourinario","Enfermedades glomerulares","Síndrome nefrítico crónico",4,0.0203268940612591
"Enfermedades del sistema genitourinario","Enfermedades glomerulares","Síndrome nefrítico no especificado",8,0.0406537881225181
"Enfermedades del sistema genitourinario","Enfermedades glomerulares","Síndrome nefrótico",7,0.0355720646072034
"Enfermedades del sistema genitourinario","Enfermedades inflamatorias de los órganos pélvicos femeninos","Enfermedad inflamatoria del cuello uterino",1,0.00508172351531476
"Enfermedades del sistema genitourinario","Enfermedades inflamatorias de los órganos pélvicos femeninos","Enfermedad inflamatoria del útero, excepto del cuello uterino",1,0.00508172351531476
"Enfermedades del sistema genitourinario","Enfermedades inflamatorias de los órganos pélvicos femeninos","Otras afecciones inflamatorias de la vagina y de la vulva",24,0.121961364367554
"Enfermedades del sistema genitourinario","Enfermedades inflamatorias de los órganos pélvicos femeninos","Otras enfermedades pélvicas inflamatorias femeninas",5,0.0254086175765738
"Enfermedades del sistema genitourinario","Enfermedades inflamatorias de los órganos pélvicos femeninos","Salpingitis y ooforitis",6,0.0304903410918886
"Enfermedades del sistema genitourinario","Insuficiencia renal","Enfermedad (Insuficiencia) renal crónica",1148,5.83381859558135
"Enfermedades del sistema genitourinario","Insuficiencia renal","Insuficiencia renal aguda",340,1.72778599520702
"Enfermedades del sistema genitourinario","Insuficiencia renal","Insuficiencia renal no especificada",208,1.05699849118547
"Enfermedades del sistema genitourinario","Litiasis urinaria","Cálculo de las vías urinarias inferiores",5,0.0254086175765738
"Enfermedades del sistema genitourinario","Litiasis urinaria","Cálculo del riñón y del uréter",15,0.0762258527297215
"Enfermedades del sistema genitourinario","Litiasis urinaria","Cólico renal, no especificado",1,0.00508172351531476
"Enfermedades del sistema genitourinario","Otras enfermedades del sistema urinario","Cistitis",4,0.0203268940612591
"Enfermedades del sistema genitourinario","Otras enfermedades del sistema urinario","Disfunción neuromuscular de la vejiga, no clasificada en otra parte",9,0.0457355116378329
"Enfermedades del sistema genitourinario","Otras enfermedades del sistema urinario","Estrechez uretral",1,0.00508172351531476
"Enfermedades del sistema genitourinario","Otras enfermedades del sistema urinario","Otros trastornos de la vejiga",11,0.0558989586684624
"Enfermedades del sistema genitourinario","Otras enfermedades del sistema urinario","Otros trastornos del sistema urinario",1318,6.69771159318486
"Enfermedades del sistema genitourinario","Otras enfermedades del sistema urinario","Uretritis y síndrome uretral",2,0.0101634470306295
"Enfermedades del sistema genitourinario","Otros trastornos del riñón y del uréter","Otros trastornos del riñón y del uréter, no clasificados en otra parte",27,0.137206534913499
"Enfermedades del sistema genitourinario","Otros trastornos del riñón y del uréter","Riñón contraído, no especificado",1,0.00508172351531476
"Enfermedades del sistema genitourinario","Trastornos de la mama","Displasia mamaria benigna",1,0.00508172351531476
"Enfermedades del sistema genitourinario","Trastornos de la mama","Otros trastornos de la mama",2,0.0101634470306295
"Enfermedades del sistema genitourinario","Trastornos no inflamatorios de los órganos genitales femeninos","Fístulas que afectan el tracto genital femenino",7,0.0355720646072034
"Enfermedades del sistema genitourinario","Trastornos no inflamatorios de los órganos genitales femeninos","Menstruación excesiva, frecuente e irregular",3,0.0152451705459443
"Enfermedades del sistema genitourinario","Trastornos no inflamatorios de los órganos genitales femeninos","Otras hemorragias uterinas o vaginales anormales",1,0.00508172351531476
"Enfermedades del sistema genitourinario","Trastornos no inflamatorios de los órganos genitales femeninos","Otros trastornos menopáusicos y perimenopáusicos",2,0.0101634470306295
"Enfermedades del sistema genitourinario","Trastornos no inflamatorios de los órganos genitales femeninos","Otros trastornos no inflamatorios de la vagina",1,0.00508172351531476
"Enfermedades del sistema genitourinario","Trastornos no inflamatorios de los órganos genitales femeninos","Tratornos no inflamatorios del ovario, de la trompa de Falopio y del ligamento ancho",2,0.0101634470306295
"Enfermedades del sistema nervioso central","Atrofias sistémicas que afectan principalmente el sistema nervioso central","Ataxia hereditaria",9,0.0457355116378329
"Enfermedades del sistema nervioso central","Atrofias sistémicas que afectan principalmente el sistema nervioso central","Atrofia muscular espinal y síndromes afines",204,1.03667159712421
"Enfermedades del sistema nervioso central","Atrofias sistémicas que afectan principalmente el sistema nervioso central","Enfermedad de Huntington",13,0.0660624056990919
"Enfermedades del sistema nervioso central","Enfermedades desmielinizantes del sistema nervioso central","Esclerosis múltiple",13,0.0660624056990919
"Enfermedades del sistema nervioso central","Enfermedades desmielinizantes del sistema nervioso central","Otras desmielinizaciones diseminadas agudas",1,0.00508172351531476
"Enfermedades del sistema nervioso central","Enfermedades desmielinizantes del sistema nervioso central","Otras enfermedades desmielinizantes del sistema nervioso central",10,0.0508172351531476
"Enfermedades del sistema nervioso central","Enfermedades musculares y de la unión neuromuscular","Miastenia gravis y otros trastornos neuromusculares",14,0.0711441292144067
"Enfermedades del sistema nervioso central","Enfermedades musculares y de la unión neuromuscular","Otras miopatías",4,0.0203268940612591
"Enfermedades del sistema nervioso central","Enfermedades musculares y de la unión neuromuscular","Trastornos musculares primarios",56,0.284576516857627
"Enfermedades del sistema nervioso central","Meningitis bacteriana, no clasificada en otra parte","Absceso y granuloma intracraneal e intrarraquídeo",14,0.0711441292144067
"Enfermedades del sistema nervioso central","Meningitis bacteriana, no clasificada en otra parte","Encefalitis, mielitis y encefalomielitis",36,0.182942046551332
"Enfermedades del sistema nervioso central","Meningitis bacteriana, no clasificada en otra parte","Flebitis y tromboflebitis intracraneal e intrarraquídea",8,0.0406537881225181
"Enfermedades del sistema nervioso central","Meningitis bacteriana, no clasificada en otra parte","Meningitis bacteriana, no clasificada en otra parte",25,0.127043087882869
"Enfermedades del sistema nervioso central","Meningitis bacteriana, no clasificada en otra parte","Meningitis debida a otras causas y a las no especificadas",15,0.0762258527297215
"Enfermedades del sistema nervioso central","Meningitis bacteriana, no clasificada en otra parte","Secuelas de enfermedades inflamatorias del sistema nervioso central",9,0.0457355116378329
"Enfermedades del sistema nervioso central","Otras enfermedades degenerativas del sistema nervioso","Enfermedad de Alzheimer",2256,11.4643682505501
"Enfermedades del sistema nervioso central","Otras enfermedades degenerativas del sistema nervioso","Otras enfermedades degenerativas del sistema nervioso, no clasificadas en otra parte",87,0.442109945832385
"Enfermedades del sistema nervioso central","Otros trastornos del sistema nervioso","Encefalopatía tóxica",106,0.538662692623365
"Enfermedades del sistema nervioso central","Otros trastornos del sistema nervioso","Hidrocéfalo",29,0.147369981944128
"Enfermedades del sistema nervioso central","Otros trastornos del sistema nervioso","Otras enfermedades de la médula espinal",13,0.0660624056990919
"Enfermedades del sistema nervioso central","Otros trastornos del sistema nervioso","Otros trastornos del encéfalo",214,1.08748883227736
"Enfermedades del sistema nervioso central","Otros trastornos del sistema nervioso","Otros trastornos del sistema nervioso central",1,0.00508172351531476
"Enfermedades del sistema nervioso central","Otros trastornos del sistema nervioso","Otros trastornos del sistema nervioso, no clasificados en otra parte",11,0.0558989586684624
"Enfermedades del sistema nervioso central","Otros trastornos del sistema nervioso","Trastornos del sistema nervioso autónomo",4,0.0203268940612591
"Enfermedades del sistema nervioso central","Parálisis cerebral y otros síndromes paralíticos","Hemiplejía",1,0.00508172351531476
"Enfermedades del sistema nervioso central","Parálisis cerebral y otros síndromes paralíticos","Otros síndromes paralíticos",4,0.0203268940612591
"Enfermedades del sistema nervioso central","Parálisis cerebral y otros síndromes paralíticos","Parálisis cerebral",104,0.528499245592736
"Enfermedades del sistema nervioso central","Parálisis cerebral y otros síndromes paralíticos","Paraplejía y cuadriplejía",38,0.193105493581961
"Enfermedades del sistema nervioso central","Polineuropatías y otros trastornos del sistema nervioso periférico","Neuropatía hereditaria e idiopática",3,0.0152451705459443
"Enfermedades del sistema nervioso central","Polineuropatías y otros trastornos del sistema nervioso periférico","Otras polineuropatías",19,0.0965527467909805
"Enfermedades del sistema nervioso central","Polineuropatías y otros trastornos del sistema nervioso periférico","Polineuopatía inflamatoria",21,0.10671619382161
"Enfermedades del sistema nervioso central","Trastornos de los nervios, de las raíces y de los plexos nerviosos","Otras mononeuropatías",1,0.00508172351531476
"Enfermedades del sistema nervioso central","Trastornos episódicos y paroxísticos","Ataques de isquemia cerebral transitoria y síndromes afines",1,0.00508172351531476
"Enfermedades del sistema nervioso central","Trastornos episódicos y paroxísticos","Epilepsia",270,1.37206534913499
"Enfermedades del sistema nervioso central","Trastornos episódicos y paroxísticos","Estado de mal epiléptico",60,0.304903410918886
"Enfermedades del sistema nervioso central","Trastornos episódicos y paroxísticos","Trastornos del sueño",16,0.0813075762450362
"Enfermedades del sistema nervioso central","Trastornos extrapiramidales y del movimiento","Enfermedad de Parkinson",686,3.48606233150593
"Enfermedades del sistema nervioso central","Trastornos extrapiramidales y del movimiento","Otras enfermedades degenerativas de los núcleos de la base",24,0.121961364367554
"Enfermedades del sistema nervioso central","Trastornos extrapiramidales y del movimiento","Parkinsonismo secundario",9,0.0457355116378329
"Enfermedades del sistema osteomuscular y del tejido conjuntivo","Artropatías infecciosas","Artritis piógena",20,0.101634470306295
"Enfermedades del sistema osteomuscular y del tejido conjuntivo","Artrosis","Coxartrosis [artrosis de la cadera]",21,0.10671619382161
"Enfermedades del sistema osteomuscular y del tejido conjuntivo","Artrosis","Gonartrosis [artrosis de la rodilla]",15,0.0762258527297215
"Enfermedades del sistema osteomuscular y del tejido conjuntivo","Artrosis","Otras artrosis",42,0.21343238764322
"Enfermedades del sistema osteomuscular y del tejido conjuntivo","Artrosis","Poliartrosis",13,0.0660624056990919
"Enfermedades del sistema osteomuscular y del tejido conjuntivo","Condropatías","Otros trastornos del cartílago",1,0.00508172351531476
"Enfermedades del sistema osteomuscular y del tejido conjuntivo","Dorsopatías deformantes","Escoliosis",4,0.0203268940612591
"Enfermedades del sistema osteomuscular y del tejido conjuntivo","Dorsopatías deformantes","Otras dorsopatías deformantes",1,0.00508172351531476
"Enfermedades del sistema osteomuscular y del tejido conjuntivo","Espondilopatías","Espondilitis anquilosante",4,0.0203268940612591
"Enfermedades del sistema osteomuscular y del tejido conjuntivo","Espondilopatías","Espondilosis",4,0.0203268940612591
"Enfermedades del sistema osteomuscular y del tejido conjuntivo","Espondilopatías","Otras espondilopatías",3,0.0152451705459443
"Enfermedades del sistema osteomuscular y del tejido conjuntivo","Espondilopatías","Otras espondilopatías inflamatorias",26,0.132124811398184
"Enfermedades del sistema osteomuscular y del tejido conjuntivo","Otras dorsopatías","Otros trastornos de los discos intervertebrales",2,0.0101634470306295
"Enfermedades del sistema osteomuscular y del tejido conjuntivo","Otras dorsopatías","Trastornos de disco cervical",2,0.0101634470306295
"Enfermedades del sistema osteomuscular y del tejido conjuntivo","Otras osteopatías","Osteomielitis",55,0.279494793342312
"Enfermedades del sistema osteomuscular y del tejido conjuntivo","Otras osteopatías","Osteonecrosis",1,0.00508172351531476
"Enfermedades del sistema osteomuscular y del tejido conjuntivo","Otras osteopatías","Otros trastornos del hueso",2,0.0101634470306295
"Enfermedades del sistema osteomuscular y del tejido conjuntivo","Otros trastornos articulares","Otros trastornos articulares, no clasificados en otra parte",6,0.0304903410918886
"Enfermedades del sistema osteomuscular y del tejido conjuntivo","Otros trastornos de los tejidos blandos","Otros trastornos de los tejidos blandos, no clasificados en otra parte",1,0.00508172351531476
"Enfermedades del sistema osteomuscular y del tejido conjuntivo","Otros trastornos de los tejidos blandos","Trastornos fibroblásticos",51,0.259167899281053
"Enfermedades del sistema osteomuscular y del tejido conjuntivo","Otros trastornos del sistema osteomuscular y del tejido conjuntivo","Otras deformidades adquiridas del sistema osteomuscular y del tejido conjuntivo",1,0.00508172351531476
"Enfermedades del sistema osteomuscular y del tejido conjuntivo","Poliartropatías inflamatorias","Artritis juvenil",1,0.00508172351531476
"Enfermedades del sistema osteomuscular y del tejido conjuntivo","Poliartropatías inflamatorias","Artritis reumatoide seropositiva",9,0.0457355116378329
"Enfermedades del sistema osteomuscular y del tejido conjuntivo","Poliartropatías inflamatorias","Gota",2,0.0101634470306295
"Enfermedades del sistema osteomuscular y del tejido conjuntivo","Poliartropatías inflamatorias","Otras artritis",7,0.0355720646072034
"Enfermedades del sistema osteomuscular y del tejido conjuntivo","Poliartropatías inflamatorias","Otras artritis reumatoides",86,0.43702822231707
"Enfermedades del sistema osteomuscular y del tejido conjuntivo","Trastornos de la densidad y de la estructura óseas","Osteoporosis con fractura patológica",3,0.0152451705459443
"Enfermedades del sistema osteomuscular y del tejido conjuntivo","Trastornos de la densidad y de la estructura óseas","Osteoporosis sin fractura patológica",4,0.0203268940612591
"Enfermedades del sistema osteomuscular y del tejido conjuntivo","Trastornos de la densidad y de la estructura óseas","Trastornos de la continuidad del hueso",2,0.0101634470306295
"Enfermedades del sistema osteomuscular y del tejido conjuntivo","Trastornos de los músculos","Miositis",2,0.0101634470306295
"Enfermedades del sistema osteomuscular y del tejido conjuntivo","Trastornos de los músculos","Otros trastornos de los músculos",33,0.167696876005387
"Enfermedades del sistema osteomuscular y del tejido conjuntivo","Trastornos de los tendones y de la sinovia","Sinovitis y tenosinovitis",1,0.00508172351531476
"Enfermedades del sistema osteomuscular y del tejido conjuntivo","Trastornos sistémicos del tejido conjuntivo","Dermatopolimiositis",15,0.0762258527297215
"Enfermedades del sistema osteomuscular y del tejido conjuntivo","Trastornos sistémicos del tejido conjuntivo","Esclerosis sistémica",29,0.147369981944128
"Enfermedades del sistema osteomuscular y del tejido conjuntivo","Trastornos sistémicos del tejido conjuntivo","Lupus eritematoso sistémico",55,0.279494793342312
"Enfermedades del sistema osteomuscular y del tejido conjuntivo","Trastornos sistémicos del tejido conjuntivo","Otras vasculopatías necrotizantes",27,0.137206534913499
"Enfermedades del sistema osteomuscular y del tejido conjuntivo","Trastornos sistémicos del tejido conjuntivo","Otro compromiso sistémico del tejido conjuntivo",25,0.127043087882869
"Enfermedades del sistema osteomuscular y del tejido conjuntivo","Trastornos sistémicos del tejido conjuntivo","Poliarteritis nudosa y afecciones relacionadas",3,0.0152451705459443
"Enfermedades del sistema respiratorio","Afecciones supurativas y necróticas de las vías respiratorias inferiores","Absceso del pulmón y del mediastino",27,0.137206534913499
"Enfermedades del sistema respiratorio","Afecciones supurativas y necróticas de las vías respiratorias inferiores","Piotórax",44,0.22359583467385
"Enfermedades del sistema respiratorio","Enfermedades crónicas de las vías respiratorias inferiores","Asma",230,1.1687964085224
"Enfermedades del sistema respiratorio","Enfermedades crónicas de las vías respiratorias inferiores","Bronquiectasia",40,0.203268940612591
"Enfermedades del sistema respiratorio","Enfermedades crónicas de las vías respiratorias inferiores","Bronquitis crónica no especificada",13,0.0660624056990919
"Enfermedades del sistema respiratorio","Enfermedades crónicas de las vías respiratorias inferiores","Bronquitis, no especificada como aguda o crónica",20,0.101634470306295
"Enfermedades del sistema respiratorio","Enfermedades crónicas de las vías respiratorias inferiores","Enfisema",131,0.665705780506234
"Enfermedades del sistema respiratorio","Enfermedades crónicas de las vías respiratorias inferiores","Estado asmático",34,0.172778599520702
"Enfermedades del sistema respiratorio","Enfermedades crónicas de las vías respiratorias inferiores","Otras enfermedades pulmonares obstructivas crónicas",2439,12.3943236538527
"Enfermedades del sistema respiratorio","Enfermedades del pulmón debidas a agentes externos","Afecciones respiratorias debidas a inhalación de gases, humos, vapores y sustancias químicas",8,0.0406537881225181
"Enfermedades del sistema respiratorio","Enfermedades del pulmón debidas a agentes externos","Neumoconiosis debida a polvo de sílice",45,0.228677558189164
"Enfermedades del sistema respiratorio","Enfermedades del pulmón debidas a agentes externos","Neumoconiosis debida al asbesto y a otras fibras minerales",3,0.0152451705459443
"Enfermedades del sistema respiratorio","Enfermedades del pulmón debidas a agentes externos","Neumoconiosis, no especificada",5,0.0254086175765738
"Enfermedades del sistema respiratorio","Enfermedades del pulmón debidas a agentes externos","Neumonitis debida a hipersensibilidad al polvo orgánico",7,0.0355720646072034
"Enfermedades del sistema respiratorio","Enfermedades del pulmón debidas a agentes externos","Neumonitis debida a sólidos y líquidos",1503,7.63783044351809
"Enfermedades del sistema respiratorio","Infecciones agudas de las vías respiratorias superiores","Amigdalitis aguda",2,0.0101634470306295
"Enfermedades del sistema respiratorio","Infecciones agudas de las vías respiratorias superiores","Faringitis aguda",1,0.00508172351531476
"Enfermedades del sistema respiratorio","Infecciones agudas de las vías respiratorias superiores","Laringitis y traqueítis agudas",2,0.0101634470306295
"Enfermedades del sistema respiratorio","Influenza [gripe] y neumonía","Influenza debida a virus de la influenza estacional identificado",1,0.00508172351531476
"Enfermedades del sistema respiratorio","Influenza [gripe] y neumonía","Influenza debida a virus no identificado",1,0.00508172351531476
"Enfermedades del sistema respiratorio","Influenza [gripe] y neumonía","Neumonía bacteriana, no clasificada en otra parte",536,2.72380380420871
"Enfermedades del sistema respiratorio","Influenza [gripe] y neumonía","Neumonía debida a Haemophilus influenzae",2,0.0101634470306295
"Enfermedades del sistema respiratorio","Influenza [gripe] y neumonía","Neumonía debida a Streptococcus pneumoniae",3,0.0152451705459443
"Enfermedades del sistema respiratorio","Influenza [gripe] y neumonía","Neumonía viral, no clasificada en otra parte",25,0.127043087882869
"Enfermedades del sistema respiratorio","Influenza [gripe] y neumonía","Neumonía, organismo no especificado",2370,12.043684731296
"Enfermedades del sistema respiratorio","Otras enfermedades de la pleura","Derrame pleural no clasificado en otra parte",109,0.553907863169309
"Enfermedades del sistema respiratorio","Otras enfermedades de la pleura","Neumotórax",21,0.10671619382161
"Enfermedades del sistema respiratorio","Otras enfermedades de la pleura","Otras afecciones de la pleura",21,0.10671619382161
"Enfermedades del sistema respiratorio","Otras enfermedades de la pleura","Paquipleuritis",1,0.00508172351531476
"Enfermedades del sistema respiratorio","Otras enfermedades de las vías respiratorias superiores","Absceso periamigdalino",3,0.0152451705459443
"Enfermedades del sistema respiratorio","Otras enfermedades de las vías respiratorias superiores","Enfermedades de las cuerdas vocales y de la laringe, no clasificadas en otra parte",6,0.0304903410918886
"Enfermedades del sistema respiratorio","Otras enfermedades de las vías respiratorias superiores","Otras enfermedades de las vías respiratorias superiores",3,0.0152451705459443
"Enfermedades del sistema respiratorio","Otras enfermedades de las vías respiratorias superiores","Sinusitis crónica",2,0.0101634470306295
"Enfermedades del sistema respiratorio","Otras enfermedades del sistema respiratorio","Insuficiencia respiratoria, no clasificada en otra parte",524,2.66282312202494
"Enfermedades del sistema respiratorio","Otras enfermedades del sistema respiratorio","Otras afecciones de la pleura",1,0.00508172351531476
"Enfermedades del sistema respiratorio","Otras enfermedades del sistema respiratorio","Otros trastornos respiratorios",512,2.60184243984116
"Enfermedades del sistema respiratorio","Otras enfermedades respiratorias que afectan principalmente al intersticio","Edema pulmonar",234,1.18912330258365
"Enfermedades del sistema respiratorio","Otras enfermedades respiratorias que afectan principalmente al intersticio","Otras enfermedades pulmonares intersticiales",1619,8.2273103712946
"Enfermedades del sistema respiratorio","Otras enfermedades respiratorias que afectan principalmente al intersticio","Síndrome de dificultad respiratoria del adulto",43,0.218514111158535
"Enfermedades del sistema respiratorio","Otras infecciones agudas de las vías respiratorias inferiores","Bronquiolitis aguda",4,0.0203268940612591
"Enfermedades del sistema respiratorio","Otras infecciones agudas de las vías respiratorias inferiores","Bronquitis aguda",57,0.289658240372942
"Enfermedades del sistema respiratorio","Otras infecciones agudas de las vías respiratorias inferiores","Infección aguda no especificada de las vías respiratorias inferiores",49,0.249004452250423
"Enfermedades endocrinas, nutricionales y metabólicas","Desnutrición","Desnutrición proteicocalórica de grado moderado y leve",3,0.0152451705459443
"Enfermedades endocrinas, nutricionales y metabólicas","Desnutrición","Desnutrición proteicocalórica severa, no especificada",120,0.609806821837772
"Enfermedades endocrinas, nutricionales y metabólicas","Desnutrición","Desnutrición proteicocalórica, no especificada",180,0.914710232756658
